customer_id,total_txns,total_value,fraud_txns,avg_txn_amount,fraud_value,risk_segment,home_country,avg_monthly_spend,is_frequent_traveler,account_age_days
1,113,10844.68,0,95.97061946902654,0.0,low,US,1782.17,False,222
2,120,15252.03,1,127.10025,649.27,low,CA,2411.05,False,1701
3,124,4056.16,0,32.710967741935484,0.0,low,US,663.43,True,1443
4,114,17014.4,1,149.24912280701756,31.04,low,US,163.24,False,977
5,128,66179.14,1,517.02453125,572.64,low,US,2429.09,False,965
6,112,17556.03,0,156.75026785714286,0.0,low,US,197.09,False,1884
7,123,6469.81,0,52.60008130081301,0.0,low,US,667.92,False,215
8,123,14740.21,1,119.8391056910569,121.19,low,US,391.09,False,1536
9,110,12612.52,1,114.65927272727274,27.97,low,US,334.43,False,465
10,115,8222.31,1,71.49834782608696,42.86,low,US,980.31,False,233
11,123,10614.38,0,86.29577235772356,0.0,low,US,614.01,False,1167
12,117,15441.1,2,131.97521367521367,275.84000000000003,medium,US,782.05,False,2137
13,105,637.95,0,6.0757142857142865,0.0,low,US,236.48,False,1619
14,138,2323.03,0,16.833550724637682,0.0,low,US,421.29,False,1674
15,116,9951.22,0,85.78637931034483,0.0,low,CA,246.51,False,1579
16,106,3729.44,0,35.1833962264151,0.0,low,US,411.92,False,1727
17,141,19664.62,2,139.46539007092198,287.09,medium,CA,442.8,False,1138
18,116,29178.92,2,251.54241379310344,329.31,low,US,2591.19,False,306
19,117,9390.69,2,80.2623076923077,220.58999999999997,low,US,390.16,False,1843
20,109,871.87,1,7.998807339449542,15.66,low,US,72.75,False,1002
21,103,27274.25,0,264.7985436893204,0.0,low,US,1729.49,False,1110
22,119,19687.41,2,165.44042016806722,139.59,low,US,738.29,False,830
23,88,2061.53,1,23.426477272727276,8.3,low,US,437.94,False,424
24,127,14351.58,0,113.00456692913386,0.0,low,US,332.46,False,2031
25,102,2936.82,1,28.79235294117647,7.69,low,US,210.14,False,1718
26,134,7433.25,0,55.47201492537314,0.0,low,CA,2819.3,False,1420
27,144,13910.24,1,96.5988888888889,177.91,low,US,516.29,False,899
28,123,2147.02,4,17.455447154471546,75.34,medium,US,103.13,True,1807
29,140,27071.88,1,193.37057142857142,108.73,low,US,661.8,False,1208
30,129,126053.6,1,977.1596899224807,336.4,low,AU,1459.07,False,987
31,108,4687.08,0,43.39888888888889,0.0,low,US,567.24,False,1002
32,115,23215.57,0,201.87452173913044,0.0,low,US,218.89,True,520
33,116,1829.54,0,15.771896551724138,0.0,low,US,201.95,False,229
34,134,2156.35,0,16.092164179104476,0.0,low,US,215.81,False,1227
35,143,198948.59,3,1391.2488811188812,5469.38,high,US,1938.16,True,1947
36,102,10135.74,1,99.37,27.74,low,US,461.97,False,167
37,141,7498.37,0,53.17992907801418,0.0,low,US,108.76,False,1883
38,141,67652.07,0,479.8019148936171,0.0,low,US,696.26,False,1817
39,111,28545.69,1,257.16837837837835,93.97,low,CA,559.44,False,627
40,131,11501.18,1,87.79526717557252,36.82,low,US,328.98,False,1394
41,135,5877.07,0,43.53385185185185,0.0,low,US,196.69,False,386
42,132,1856.09,1,14.061287878787878,8.26,medium,US,189.14,False,1667
43,111,11705.21,0,105.45234234234233,0.0,low,US,1310.25,False,1543
44,103,1020.25,0,9.905339805825243,0.0,low,DE,615.7,False,795
45,113,7829.08,1,69.28389380530973,33.61,low,US,758.07,False,176
46,116,3907.0,1,33.68103448275862,9.37,high,CA,614.18,False,2126
47,113,27067.83,1,239.53831858407082,190.69,low,US,661.77,False,992
48,109,13075.02,1,119.95431192660551,70.7,low,US,323.26,False,1959
49,118,16906.68,1,143.2769491525424,18.6,medium,US,409.42,False,1494
50,122,12295.05,1,100.77909836065574,26.79,low,US,1405.88,False,1711
51,110,145230.77,0,1320.279727272727,0.0,medium,US,1760.11,False,1671
52,125,5849.85,0,46.7988,0.0,low,US,164.04,False,450
53,126,5801.38,0,46.042698412698414,0.0,low,US,408.53,False,816
54,112,41067.69,1,366.6758035714286,791.88,low,US,1048.75,False,1038
55,116,239525.27,0,2064.8730172413793,0.0,low,US,2680.8,True,1105
56,130,140515.07,1,1080.8851538461538,725.67,low,US,2449.8,False,124
57,152,31381.36,0,206.45631578947368,0.0,low,GB,240.76,False,1210
58,125,54221.619999999995,1,433.77295999999996,1817.05,low,US,1552.38,False,363
59,118,33972.42,1,287.9018644067796,474.46,low,US,519.45,False,1635
60,108,28796.4,0,266.6333333333333,0.0,low,US,1261.4,False,1505
61,112,11871.23,1,105.99312499999999,219.76,low,US,1001.7,False,2022
62,113,6597.17,0,58.38203539823009,0.0,low,US,157.97,False,1638
63,103,4189.66,1,40.676310679611646,12.85,low,US,808.33,True,821
64,111,81238.65,3,731.8797297297297,2564.5,medium,GB,1218.2,False,2119
65,122,8445.93,0,69.22893442622951,0.0,low,US,483.89,False,917
66,112,7304.78,2,65.22125,127.91,low,US,394.77,False,733
67,108,2811.67,0,26.033981481481483,0.0,low,US,119.76,True,1985
68,113,17485.2,0,154.7362831858407,0.0,low,CA,911.65,False,830
69,133,31969.9,0,240.3751879699248,0.0,low,US,594.59,False,194
70,109,1479.99,0,13.57788990825688,0.0,low,US,214.87,False,1044
71,114,2810.06,0,24.649649122807016,0.0,low,US,367.51,False,1748
72,128,8711.64,1,68.0596875,365.08,medium,US,566.26,False,439
73,127,12037.869999999999,0,94.7863779527559,0.0,low,US,298.04,False,1029
74,127,74653.43,0,587.8222834645669,0.0,low,CA,493.94,True,310
75,132,2276.91,2,17.249318181818182,29.869999999999997,medium,US,102.01,False,1512
76,130,483091.49,1,3716.0883846153847,1261.68,medium,US,1659.85,False,1057
77,134,124487.19,2,929.0088805970149,2335.13,low,CA,499.86,False,743
78,111,20024.01,0,180.39648648648648,0.0,low,US,183.2,False,520
79,111,2267.71,0,20.42981981981982,0.0,low,US,53.85,True,1249
80,113,15243.93,1,134.90203539823008,230.48,low,US,1244.17,False,1476
81,120,38335.37,0,319.4614166666667,0.0,low,CA,814.26,False,2061
82,106,43077.42,1,406.3907547169811,104.87,low,US,595.63,True,974
83,121,36004.61,0,297.55876033057854,0.0,low,US,1072.0,False,377
84,106,44755.85,1,422.22499999999997,113.59,low,US,1069.35,False,1828
85,125,9899.73,0,79.19784,0.0,low,US,586.98,False,1390
86,135,9240.94,0,68.45140740740742,0.0,low,US,391.98,False,1542
87,105,3314.5299999999997,1,31.56695238095238,34.44,low,US,338.52,False,240
88,130,54198.62,2,416.91246153846157,386.81,low,US,719.71,False,704
89,117,55074.42,0,470.72153846153844,0.0,low,US,1732.51,False,1688
90,110,8138.4800000000005,1,73.98618181818182,111.09,medium,US,449.16,False,1827
91,130,18013.31,0,138.5639230769231,0.0,medium,US,1860.93,False,970
92,119,1776.23,0,14.926302521008404,0.0,medium,US,689.41,False,1768
93,121,84336.87,2,696.9989256198347,2266.19,medium,US,694.1,False,1848
94,128,81935.81,1,640.123515625,359.23,medium,US,4292.39,True,866
95,158,76661.86,0,485.20164556962027,0.0,low,US,2180.72,False,1969
96,127,54118.13,1,426.1270078740157,103.05,low,US,2232.21,False,652
97,115,10013.45,0,87.07347826086958,0.0,low,US,240.36,False,547
98,112,78353.70999999999,0,699.5866964285714,0.0,low,DE,3543.83,False,1504
99,132,25349.94,2,192.045,553.9300000000001,low,US,457.6,False,1405
100,101,5696.46,2,56.40059405940594,95.05,low,US,401.52,False,331
101,136,8797.51,0,64.68757352941176,0.0,medium,US,70.58,False,1828
102,113,11965.03,0,105.88522123893806,0.0,low,US,660.94,False,461
103,124,3434.44,1,27.69709677419355,65.23,medium,US,185.86,False,1768
104,109,11119.53,1,102.01403669724772,144.44,low,US,711.54,False,45
105,126,78503.68,1,623.0450793650793,198.03,low,US,173.23,False,1751
106,121,134897.84,1,1114.8581818181817,601.28,low,GB,2484.76,False,1729
107,115,10405.9,2,90.48608695652173,59.43,low,US,809.5,False,1715
108,125,274825.32,0,2198.6025600000003,0.0,low,US,3834.85,False,1466
109,126,2714.14,0,21.54079365079365,0.0,low,US,196.23,False,1048
110,120,48356.44,0,402.9703333333334,0.0,medium,US,1986.76,True,1553
111,130,5519.73,1,42.45946153846153,127.2,low,US,97.28,False,628
112,122,6142.08,1,50.344918032786886,20.41,low,GB,594.23,False,1716
113,124,5733.33,0,46.236532258064514,0.0,low,US,279.09,False,1230
114,122,18206.05,1,149.22991803278688,632.76,low,US,329.26,False,1021
115,110,5306.44,1,48.24036363636363,388.93,low,US,309.56,False,1122
116,112,1152.7,1,10.291964285714286,25.93,low,DE,216.32,False,1258
117,131,4044.04,0,30.87053435114504,0.0,low,US,158.58,False,110
118,114,12480.119999999999,0,109.47473684210526,0.0,low,US,330.9,False,331
119,119,42996.03,0,361.31117647058824,0.0,low,US,546.99,False,560
120,100,117309.94,0,1173.0994,0.0,low,US,1404.34,False,277
121,94,50336.06,2,535.49,2901.53,low,GB,642.79,False,979
122,109,20705.53,0,189.95899082568806,0.0,low,CA,1407.94,False,1473
123,114,1394.75,1,12.234649122807017,4.75,low,US,130.27,False,1443
124,134,2527.39,0,18.861119402985075,0.0,low,GB,333.73,False,1047
125,118,7373.76,2,62.48949152542373,70.3,low,US,934.4,False,1876
126,108,8016.28,0,74.2248148148148,0.0,low,US,671.07,False,1250
127,124,1020.91,0,8.233145161290322,0.0,low,US,227.0,False,201
128,117,42167.96,0,360.40991452991454,0.0,low,US,1142.14,False,1682
